key,key:airline,model,registrationNumber,capacity,cargoWeight,status,details
aircraft-01,airline-02,Boeing 767,0001,399,3500,ACTIVE_SERVICE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-02,airline-01,Boeing 767,0002,399,3500,ACTIVE_SERVICE,لوريم إيبسوم
aircraft-03,airline-02,Boeing 767,0003,399,3500,UNDER_MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-04,airline-03,Boeing 767,0004,399,3500,ACTIVE_SERVICE,洛伦·伊普森
aircraft-05,airline-03,Boeing 767,0005,399,3200,ACTIVE_SERVICE,لوريم إيبسوم
aircraft-06,airline-04,Boeing 767,0006,399,3200,ACTIVE_SERVICE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-07,airline-05,Airbus A320,0007,399,3200,ACTIVE_SERVICE,โลเร็ม อิปซัม
aircraft-08,airline-01,Airbus A320,0008,399,3200,UNDER_MAINTENANCE,Lorem ipsum dolor si
aircraft-09,airline-04,Airbus A320,0009,399,3500,UNDER_MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-10,airline-02,Airbus A320,0010,399,3500,ACTIVE_SERVICE,洛伦·伊普森
aircraft-11,airline-05,Airbus A320,0011,200,3500,UNDER_MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-12,airline-01,Airbus A320,0012,201,3500,ACTIVE_SERVICE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-13,airline-03,Cessna 172,0013,202,3700,UNDER_MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-14,airline-01,Cessna 172,0014,204,3700,UNDER_MAINTENANCE,洛伦·伊普森
aircraft-15,airline-02,Cessna 172,0015,205,3700,UNDER_MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-16,airline-01,Cessna 172,0016,206,3700,ACTIVE_SERVICE,L
aircraft-17,airline-02,Cessna 172,0017,207,3700,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-18,airline-04,Cessna 172,0018,208,3700,UNDER_MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
aircraft-19,airline-06,Cessna 172,0019,209,3800,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-20,airline-02,Boeing 787 Dreamliner,0020,230,3900,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-21,airline-06,Boeing 787 Dreamliner,0021,231,3901,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-22,airline-04,Boeing 787 Dreamliner,0022,232,3902,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-23,airline-01,Boeing 787 Dreamliner,0023,233,3903,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-24,airline-06,Boeing 787 Dreamliner,0024,234,3904,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-25,airline-04,Boeing 787 Dreamliner,0025,235,3904,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-26,airline-02,Boeing 787 Dreamliner,0026,236,3907,UNDER_MAINTENANCE,Lorem ipsum dolor si
aircraft-27,airline-06,Boeing 787 Dreamliner,0027,237,3906,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-28,airline-05,Boeing 787 Dreamliner,0028,238,3908,ACTIVE_SERVICE,Lorem ipsum dolor si
aircraft-29,airline-02,Airbus 380,0029,239,3906,UNDER_MAINTENANCE,Lorem ipsum dolor si
aircraft-30,airline-03,Airbus 380,0030,230,3906,ACTIVE_SERVICE,Lorem ipsum dolor si
