key,alias,moment,subject,text,score,isRecommended
review-01,L,2021/03/11 16:58,testing subject,test test testing text,5.8,false
review-02,Lorem ipsum dolor sit amet consectetur adipiscinga,2021/03/11 16:58,testing subject,test test testing text,5.8,true
review-03,Lo,2021/03/11 16:58,testing subject,test test testing text,5.8,false
review-04,Lorem ipsum dolor sit amet consectetur adipiscing,2021/03/11 16:58,testing subject,test test testing text,5.8,true
review-05,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,test test testing text,5.8,false
review-06,โลเร็ม อิปซัม,2021/03/11 16:58,testing subject,test test testing text,5.8,false
review-07,لوريم إيبسوم,2021/03/11 16:58,testing subject,test test testing text,5.8,true
review-08,洛伦·伊普森,2021/03/11 16:58,testing subject,test test testing text,5.8,false
review-09,<marquee>Hacked</marquee>,2021/03/11 16:58,testing subject,test test testing text,5.8,true
review-10,<script>alert(‘Hacked!’);</script>,2021/03/11 16:58,testing subject,test test testing text,5.8,false
review-11,'' or 'A' = 'A,2021/03/11 16:58,testing subject,test test testing text,5.8,true
review-12,Lorem ipsum dolor sit,2000/01/01 00:00,testing subject,test test testing text,5.8,false
review-13,Lorem ipsum dolor sit,2022/07/30 00:00,testing subject,test test testing text,5.8,false
review-14,Lorem ipsum dolor sit,2000/01/01 00:01,testing subject,test test testing text,5.8,false
review-15,Lorem ipsum dolor sit,2022/07/29 23:59,testing subject,test test testing text,5.8,true
review-16,Lorem ipsum dolor sit,2020/04/07 16:23,testing subject,test test testing text,5.8,true
review-17,Lorem ipsum dolor sit,2014/07/17 05:57,testing subject,test test testing text,5.8,false
review-18,Lorem ipsum dolor sit,2021/03/11 16:58,L,test test testing text,5.8,true
review-19,Lorem ipsum dolor sit,2021/03/11 16:58,Lorem ipsum dolor sit amet consectetur adipiscinga,test test testing text,5.8,true
review-20,Lorem ipsum dolor sit,2021/03/11 16:58,Lo,test test testing text,5.8,false
review-21,Lorem ipsum dolor sit,2021/03/11 16:58,Lorem ipsum dolor sit amet consectetur adipiscing,test test testing text,5.8,true
review-22,Lorem ipsum dolor sit,2021/03/11 16:58,Lorem ipsum dolor sit,test test testing text,5.8,true
review-23,Lorem ipsum dolor sit,2021/03/11 16:58,โลเร็ม อิปซัม,test test testing text,5.8,false
review-24,Lorem ipsum dolor sit,2021/03/11 16:58,لوريم إيبسوم,test test testing text,5.8,true
review-25,Lorem ipsum dolor sit,2021/03/11 16:58,洛伦·伊普森,test test testing text,5.8,true
review-26,Lorem ipsum dolor sit,2021/03/11 16:58,<marquee>Hacked</marquee>,test test testing text,5.8,true
review-27,Lorem ipsum dolor sit,2021/03/11 16:58,<script>alert(‘Hacked!’);</script>,test test testing text,5.8,true
review-28,Lorem ipsum dolor sit,2021/03/11 16:58,'' or 'A' = 'A,test test testing text,5.8,false
review-29,Lorem ipsum dolor sit,2021/03/11 16:58,Esto es un asunto de prueba,test test testing text,5.8,true
review-30,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,L,5.8,false
review-31,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,Lorem ipsum dolor sit amet consectetur adipiscinga,5.8,true
review-32,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,Lo,5.8,true
review-33,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,Lorem ipsum dolor sit amet consectetur adipiscing,5.8,false
review-34,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,Lorem ipsum dolor sit,5.8,true
review-35,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,โลเร็ม อิปซัม,5.8,false
review-36,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,لوريم إيبسوم,5.8,true
review-37,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,洛伦·伊普森,5.8,false
review-38,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,<marquee>Hacked</marquee>,5.8,false
review-39,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,<script>alert(‘Hacked!’);</script>,5.8,false
review-40,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,'' or 'A' = 'A,5.8,true
review-41,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,Esto es una descripcion de prueba,5.8,false
review-42,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,test test testing text,0.00,true
review-43,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,test test testing text,10.00,false
review-44,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,test test testing text,0.01,true
review-45,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,test test testing text,9.99,true
review-46,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,test test testing text,3.61,false
review-47,Lorem ipsum dolor sit,2021/03/11 16:58,testing subject,test test testing text,8.96,true
