key,key:maintenanceRecord,key:task
involves-01,maintenanceR-01,task-01
involves-02,maintenanceR-03,task-11
involves-03,maintenanceR-02,task-10
involves-04,maintenanceR-02,task-02
involves-05,maintenanceR-02,task-01
involves-06,maintenanceR-10,task-01
involves-07,maintenanceR-04,task-02
involves-08,maintenanceR-04,task-07
involves-09,maintenanceR-04,task-08
involves-10,maintenanceR-01,task-09
involves-11,maintenanceR-01,task-10
involves-12,maintenanceR-07,task-02
involves-13,maintenanceR-05,task-02
involves-14,maintenanceR-03,task-10
involves-15,maintenanceR-11,task-10
involves-16,maintenanceR-10,task-02
involves-17,maintenanceR-11,task-10
involves-18,maintenanceR-03,task-12
involves-19,maintenanceR-06,task-04
