key,key:maintanceRecord,key:task
mainTask-01,maintenanceR-01,task-01
mainTask-02,maintenanceR-03,task-10
mainTask-03,maintenanceR-02,task-10
mainTask-04,maintenanceR-02,task-02
mainTask-05,maintenanceR-01,task-01
mainTask-06,maintenanceR-01,task-01
mainTask-07,maintenanceR-04,task-02
mainTask-08,maintenanceR-04,task-03
mainTask-09,maintenanceR-04,task-03
mainTask-10,maintenanceR-01,task-03
mainTask-11,maintenanceR-01,task-10
mainTask-12,maintenanceR-07,task-02
mainTask-13,maintenanceR-04,task-02
mainTask-14,maintenanceR-03,task-10
mainTask-15,maintenanceR-11,task-10
mainTask-16,maintenanceR-10,task-02
mainTask-17,maintenanceR-11,task-10
mainTask-18,maintenanceR-03,task-02
mainTask-19,maintenanceR-06,task-04
